League Name,Team Name,Team ID,Exclude?,,,,,,,,
Austrian Bundesliga,Red Bull Salzburg,52495026,,,,,Pescara,,,"""Pescara""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"""
Austrian Bundesliga,SCR Altach,872710,,,,,Pordenone,,,"""Pordenone""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"""
Austrian Bundesliga,SV Ried,872714,,,,,Hatayspor,,,"""Hatayspor""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"""
Austrian Bundesliga,Sturm Graz,71085,,,,,Galatasaray,,,"""Galatasaray""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"""
Austrian Bundesliga,WSG Wattens,3258153,,,,,Santa Clara,,,"""Santa Clara""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"""
Austrian Erste Liga,Rapid Vienna (Am),4902225,,,,,Juventus,,,"""Juventus""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"""
Austrian Erste Liga,SV Austria Salzburg,4902221,,,,,Mafra,,,"""Mafra""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"",""Mafra"""
Belgian Pro League,Antwerp,3247346,,,,,Rennes,,,"""Rennes""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"",""Mafra"",""Rennes"""
Belgian Pro League,Cercle Brugge,259394,,,,,Malatyaspor,,,"""Malatyaspor""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"",""Mafra"",""Rennes"",""Malatyaspor"""
Belgian Pro League,Charleroi,65808,,,,,Arouca,,,"""Arouca""","[""Burgos"",""Cittadella"",""Andorra CF"",""Sport Recife"",""Malaga"",""Cruzeiro MG"",""Basaksehir"",""Incheon"",""Wanderers (Uru)"",""Varzim"",""Elche"",""Fortaleza EC"",""Reggina"",""Fluminense"",""Valladolid"",""Empoli"",""Frosinone"",""Penarol"",""Besiktas"",""Cerro Largo"",""Espanyol"",""Mallorca"",""Gwangju"",""Perugia"",""Reggiana"",""Girona"",""Inter"",""Fiorentina"",""Lecce"",""Cuiaba"",""Granada"",""Tenerife"",""Alcorcon"",""Spezia"",""Cerrito"",""UD Logrones"",""Pescara"",""Pordenone"",""Hatayspor"",""Galatasaray"",""Santa Clara"",""Juventus"",""Mafra"",""Rennes"",""Malatyaspor"",""Arouca"""
